KINETIC / WINDSTREAM MATERIAL LIST,,,,,
Project 7041528584 - COLBERT GA,,,,,
Issued to crew before start,,,,,
,,,,,
Unit Code,Material Description,Planned Qty,UOM,Manufacturer,Reel #
BFO48,48ct ADSS Fiber Optic Cable,12500,ft,Corning,R-88213
BFO96,96ct ADSS Fiber Optic Cable,4200,ft,Corning,R-88214
BFOV,Fiber Optic Vault,14,ea,Channell,
BHF,Bore Hand Fed,850,ft,,
BMFAF,Missile Fed Aerial Fiber,1200,ft,,
BM2F,"Missile 2"" Fiber",640,ft,,
BD4MPF,"4"" Missile Plowed Fiber",3200,ft,,
BD5MPF,"5"" Missile Plowed Fiber",1750,ft,,
PED24,"24"" Pedestal (flower pot)",22,ea,Channell,
PED36,"36"" Pedestal (flower pot)",8,ea,Channell,
MRKR,Fiber Marker Post,60,ea,Rhino,
HH1730,17x30 Handhole,6,ea,Oldcastle,
TOTAL,,24446,,,
